Event, Time (sec), Component, Event Property, Value
333, 768.06969200, , id=0x0001, 0x00000000 0x000510E0
334, 768.56973800, , id=0x0001, 0x00000000 0x000514C8
335, 769.06970400, , id=0x0001, 0x00000000 0x000518B0
336, 769.56973800, , id=0x0001, 0x00000000 0x00051C98
337, 770.06970400, , id=0x0001, 0x00000000 0x00052080
338, 770.56972600, , id=0x0001, 0x00000000 0x00052468
339, 771.06969200, , id=0x0001, 0x00000000 0x00052850
340, 771.56972600, , id=0x0001, 0x00000000 0x00052C38
341, 772.06970400, , id=0x0001, 0x00000000 0x00053020
342, 772.56973800, , id=0x0001, 0x00000000 0x00053408
343, 773.06969200, , id=0x0001, 0x00000000 0x000537F0
344, 773.56972600, , id=0x0001, 0x00000000 0x00053BD8
345, 774.06969200, , id=0x0001, 0x00000000 0x00053FC0
346, 774.56973800, , id=0x0001, 0x00000000 0x000543A8
347, 775.06970400, , id=0x0001, 0x00000000 0x00054790
348, 775.56973800, , id=0x0001, 0x00000000 0x00054B78
349, 776.06970400, , id=0x0001, 0x00000000 0x00054F60
350, 776.56973800, , id=0x0001, 0x00000000 0x00055348
351, 777.06969200, , id=0x0001, 0x00000000 0x00055730
352, 777.56973800, , id=0x0001, 0x00000000 0x00055B18
353, 778.06970400, , id=0x0001, 0x00000000 0x00055F00
354, 778.56972600, , id=0x0001, 0x00000000 0x000562E8
355, 779.06970400, , id=0x0001, 0x00000000 0x000566D0
356, 779.56973800, , id=0x0001, 0x00000000 0x00056AB8
357, 780.06970400, , id=0x0001, 0x00000000 0x00056EA0
358, 780.56973800, , id=0x0001, 0x00000000 0x00057288
359, 781.06970400, , id=0x0001, 0x00000000 0x00057670
360, 781.56973800, , id=0x0001, 0x00000000 0x00057A58
361, 782.06969200, , id=0x0001, 0x00000000 0x00057E40
362, 782.56972600, , id=0x0001, 0x00000000 0x00058228
363, 783.06969200, , id=0x0001, 0x00000000 0x00058610
364, 783.56973800, , id=0x0001, 0x00000000 0x000589F8
365, 784.06970400, , id=0x0001, 0x00000000 0x00058DE0
366, 784.56973800, , id=0x0001, 0x00000000 0x000591C8
367, 785.06970400, , id=0x0001, 0x00000000 0x000595B0
368, 785.56973800, , id=0x0001, 0x00000000 0x00059998
369, 786.06969200, , id=0x0001, 0x00000000 0x00059D80
370, 786.56973800, , id=0x0001, 0x00000000 0x0005A168
371, 787.06970400, , id=0x0001, 0x00000000 0x0005A550
372, 787.56973800, , id=0x0001, 0x00000000 0x0005A938
373, 788.06970400, , id=0x0001, 0x00000000 0x0005AD20
374, 788.56973800, , id=0x0001, 0x00000000 0x0005B108
375, 789.06969200, , id=0x0001, 0x00000000 0x0005B4F0
376, 789.56973800, , id=0x0001, 0x00000000 0x0005B8D8
377, 790.06969200, , id=0x0001, 0x00000000 0x0005BCC0
378, 790.56972600, , id=0x0001, 0x00000000 0x0005C0A8
379, 791.06970400, , id=0x0001, 0x00000000 0x0005C490
380, 791.56973800, , id=0x0001, 0x00000000 0x0005C878
381, 792.07160000, , id=0x0001, 0x00000000 0x0005CC63
382, 792.56973800, , id=0x0001, 0x00000000 0x0005D048
383, 793.06970400, , id=0x0001, 0x00000000 0x0005D430
384, 793.56973800, , id=0x0001, 0x00000000 0x0005D818
385, 794.06970400, , id=0x0001, 0x00000000 0x0005DC00
386, 794.56973800, , id=0x0001, 0x00000000 0x0005DFE8
387, 795.06969200, , id=0x0001, 0x00000000 0x0005E3D0
388, 795.56973800, , id=0x0001, 0x00000000 0x0005E7B8
389, 796.06970400, , id=0x0001, 0x00000000 0x0005EBA0
390, 796.56972600, , id=0x0001, 0x00000000 0x0005EF88
391, 797.06970400, , id=0x0001, 0x00000000 0x0005F370
392, 797.56973800, , id=0x0001, 0x00000000 0x0005F758
393, 798.06970400, , id=0x0001, 0x00000000 0x0005FB40
394, 798.56973800, , id=0x0001, 0x00000000 0x0005FF28
395, 799.06970400, , id=0x0001, 0x00000000 0x00060310
396, 799.56973800, , id=0x0001, 0x00000000 0x000606F8
397, 800.06969200, , id=0x0001, 0x00000000 0x00060AE0
398, 800.56973800, , id=0x0001, 0x00000000 0x00060EC8
399, 801.06970400, , id=0x0001, 0x00000000 0x000612B0
400, 801.56972600, , id=0x0001, 0x00000000 0x00061698
401, 802.06969200, , id=0x0001, 0x00000000 0x00061A80
402, 802.56973800, , id=0x0001, 0x00000000 0x00061E68
403, 803.06969200, , id=0x0001, 0x00000000 0x00062250
404, 803.56972600, , id=0x0001, 0x00000000 0x00062638
405, 804.06970400, , id=0x0001, 0x00000000 0x00062A20
406, 804.56973800, , id=0x0001, 0x00000000 0x00062E08
407, 805.06970400, , id=0x0001, 0x00000000 0x000631F0
408, 805.56973800, , id=0x0001, 0x00000000 0x000635D8
409, 806.06970400, , id=0x0001, 0x00000000 0x000639C0
410, 806.56973800, , id=0x0001, 0x00000000 0x00063DA8
411, 807.06970400, , id=0x0001, 0x00000000 0x00064190
412, 807.56973800, , id=0x0001, 0x00000000 0x00064578
413, 808.06970400, , id=0x0001, 0x00000000 0x00064960
414, 808.56972600, , id=0x0001, 0x00000000 0x00064D48
415, 809.06970400, , id=0x0001, 0x00000000 0x00065130
416, 809.56973800, , id=0x0001, 0x00000000 0x00065518
417, 810.06970400, , id=0x0001, 0x00000000 0x00065900
418, 810.57123400, , id=0x0001, 0x00000000 0x00065CEB
419, 811.06970400, , id=0x0001, 0x00000000 0x000660D0
420, 811.56972600, , id=0x0001, 0x00000000 0x000664B8
421, 812.06969200, , id=0x0001, 0x00000000 0x000668A0
422, 812.56973800, , id=0x0001, 0x00000000 0x00066C88
423, 813.06970400, , id=0x0001, 0x00000000 0x00067070
424, 813.56972600, , id=0x0001, 0x00000000 0x00067458
425, 814.06970400, , id=0x0001, 0x00000000 0x00067840
426, 814.56973800, , id=0x0001, 0x00000000 0x00067C28
427, 815.06969200, , id=0x0001, 0x00000000 0x00068010
428, 815.56972600, , id=0x0001, 0x00000000 0x000683F8
429, 816.06970400, , id=0x0001, 0x00000000 0x000687E0
430, 816.56973800, , id=0x0001, 0x00000000 0x00068BC8
431, 817.06969200, , id=0x0001, 0x00000000 0x00068FB0
432, 817.56973800, , id=0x0001, 0x00000000 0x00069398
433, 818.06970400, , id=0x0001, 0x00000000 0x00069780
434, 818.56973800, , id=0x0001, 0x00000000 0x00069B68
435, 819.06970400, , id=0x0001, 0x00000000 0x00069F50
436, 819.56973800, , id=0x0001, 0x00000000 0x0006A338
437, 820.06970400, , id=0x0001, 0x00000000 0x0006A720
438, 820.56972600, , id=0x0001, 0x00000000 0x0006AB08
439, 821.06970400, , id=0x0001, 0x00000000 0x0006AEF0
440, 821.56973800, , id=0x0001, 0x00000000 0x0006B2D8
441, 822.06970400, , id=0x0001, 0x00000000 0x0006B6C0
442, 822.56973800, , id=0x0001, 0x00000000 0x0006BAA8
443, 823.06970400, , id=0x0001, 0x00000000 0x0006BE90
